Ranking,Title,Prison Population Total
1,China,1690000
2,United States of America,1675400
3,Brazil,835643
4,India,554034
5,Russian Federation,468237
6,Turkey,314502
7,Thailand,285572
8,Indonesia,275518
9,Mexico,229621
10,Iran,189000
11,Philippines,166912
12,South Africa,144938
13,Vietnam,125697
14,Egypt,119000
15,Argentina,114074
16,Ethiopia,110000
17,Myanmar (formerly Burma),100324
18,Colombia,97316
19,Algeria,94749
20,Peru,89948
21,Morocco,88941
22,Pakistan,85670
23,Bangladesh,83837
24,United Kingdom: England & Wales,81309
25,Rwanda,76099
26,Nigeria,75639
27,Iraq,73715
28,Poland,72302
29,France,72067
30,Uganda,70119
31,Malaysia,69507
32,Saudi Arabia,c.68056
33,Venezuela,67200
34,Cuba,57337
35,Germany,56069
36,Italy,55835
37,Taiwan,55463
38,Spain,55097
39,Republic of (South) Korea,53920
40,Kenya,52979
41,Ukraine,48038
42,Japan,45714
43,Chile,43772
44,Australia,42403
45,El Salvador,39538
46,Cambodia,39000
47,Kazakhstan,35228
48,Turkmenistan,35000
49,Tanzania,33570
50,Belarus,32556
51,Ecuador,32466
52,Canada,32261
53,Cameroon,32003
54,Afghanistan,28240
55,Madagascar,27611
56,Dominican Republic,26794
57,Nepal,25400
58,Guatemala,24595
59,Angola,24336
60,Tunisia,23484
61,Romania,23214
62,Zambia,23062
63,Cote d'Ivoire,23000
64,Uzbekistan,22867
65,Democratic Republic of Congo,22820
66,Sri Lanka,22000
67,Azerbaijan,21813
68,Panama,21113
69,Sudan,21000
70,Nicaragua,20918
71,Zimbabwe,20898
72,Bolivia,20864
73,Honduras,20768
74,Czech Republic,19140
75,Hungary,18800
76,Mozambique,18700
77,Jordan,17708
78,Paraguay,16267
79,Costa Rica,15516
80,Israel,14961
81,Malawi,14500
82,Ghana,14444
83,Uruguay,14347
84,Tajikistan,14000
85,Benin,13009
86,Burundi,12694
87,Senegal,12430
88,Libya,12300
89,Portugal,12269
90,Laos,11885
91,Netherlands,11623
92,Haiti,11253
93,Greece,11131
94,Syria,10599
95,Serbia,10436
96,Belgium,10379
97,Singapore,10262
98,Kyrgyzstan,10142
99,Slovakia,9984
100,United Arab Emirates,9826
101,Yemen,9719
102,Georgia,9645
103,Niger,9187
104,Namibia,8900
105,Puerto Rico (USA),8884
106,Chad,8700
107,Mali,8670
108,Austria,8456
109,Hong Kong (China),7867
110,New Zealand,7728
111,United Kingdom: Scotland,7408
112,Lebanon,7401
112,Burkina Faso,7401
114,Sweden,7317
115,South Sudan,7000
116,Moldova (Republic of),6461
117,Switzerland,6310
118,Bulgaria,6080
119,Mongolia,5832
120,Gabon,5226
121,Lithuania,5089
122,Papua New Guinea,5087
123,Albania,5054
124,Togo,4990
125,Sierra Leone,4430
126,Kuwait,4420
127,Guinea (Republic of),4375
128,Denmark,4248
129,"Ireland, Republic of",4197
130,Croatia,3955
131,Botswana,3882
132,Trinidad and Tobago,3802
133,Jamaica,3719
134,Bahrain,3485
135,eSwatini/Swaziland,3362
136,Latvia,3124
137,Norway,3119
138,Liberia,2925
139,Finland,2827
140,Mauritius,2509
141,Fiji,2379
142,North Macedonia,2220
143,Lesotho,2216
144,Armenia,2113
145,Estonia,2112
146,Mauritania,2023
147,Oman,1960
148,Guyana,1889
149,Bosnia and Herzegovina: Federation,1813
150,United Kingdom: Northern Ireland,1709
151,Maldives,1700
152,Kosovo/Kosova,1642
153,Bahamas,1617
154,Cape Verde (Cabo Verde),1549
155,Macau (China),1497
156,Slovenia,1397
157,Congo (Republic of),1388
158,Central African Republic,1291
159,Reunion (France),1179
160,Qatar,1150
161,Bhutan,1119
162,Belize,1114
163,Suriname,1000
164,Martinique (France),916
165,Brunei Darussalam,841
166,Montenegro,836
167,French Guiana/Guyane (France),831
168,Malta,821
169,Guadeloupe (France),803
170,Barbados,769
171,Timor-Leste (formerly East Timor),763
172,Cyprus (Republic of),716
173,Luxembourg,685
174,Djibouti,c.662
175,New Caledonia (France),604
176,Guam (USA),600
177,Guinea Bissau,596
178,French Polynesia (France),591
179,Bosnia and Herzegovina: Republika Srpska,562
180,Gambia,543
181,Solomon Islands,500
181,Equatorial Guinea,500
183,St. Lucia,484
184,Mayotte (France),466
185,Curaçao (Netherlands),429
186,Comoros,387
187,St. Vincent and the Grenadines,385
188,Grenada,365
189,Virgin Islands (USA),359
190,Samoa,358
191,Seychelles,320
192,American Samoa (USA),301
193,Sao Tome e Principe,260
194,Antigua and Barbuda,238
195,Dominica,206
196,Cayman Islands (United Kingdom),205
197,Vanuatu,195
198,St. Kitts and Nevis,184
199,Tonga,176
200,Northern Mariana Islands (USA),175
201,Aruba (Netherlands),170
202,Iceland,150
203,Jersey (United Kingdom),146
204,Virgin Islands (United Kingdom),143
205,"Micronesia, Federated States of",132
206,Greenland (Denmark),131
207,Kiribati,129
208,Bermuda (United Kingdom),124
209,Isle of Man (United Kingdom),109
210,Gibraltar (United Kingdom),92
211,Guernsey (United Kingdom),84
212,Palau,77
212,Sint Maarten (Netherlands),77
214,Andorra,61
215,Anguilla (United Kingdom),55
216,Cook Islands (New Zealand),47
217,Marshall Islands,35
218,Nauru,14
219,Monaco,13
220,Liechtenstein,12
221,Faeroe Islands (Denmark),11
221,Tuvalu,11
223,San Marino,9
