نام بنای تاریخی,استان,شهر,تعداد بازدید کنند گان,درصد در کل بازدید کنند گان از بناهای تاریخی
حافظیه,فارس,شیراز,1148423,8.92
آرامگاه فردوسی,خراسان رضوی,توس,958776,7.45
سعدیه,فارس,شیراز,895607,6.96
باغ فین,اصفهان,کاشان,846571,6.58
تخت جمشید,فارس,مرودشت,696111,5.41
آرامگاه خیام,خراسان رضوی,نیشابور,523233,4.06
عمارت عالی قاپو,اصفهان,اصفهان,488847,3.8
آرامگاه عطار,خراسان رضوی,نیشابور,442682,3.44
طاق بستان,کرمانشاه,کرمانشاه,360205,2.8
پاسارگاد,فارس,مرودشت,229548,2.56
شاهزاده ماهان,کرمان,کرمان,296371,2.3
آرامگاه بوعلی,همدان,همدان,291851,2.27
کلیسای سنت استپانوس,آذربایجان شرقی,جلفا,226664,1.76
آرامگاه باباطاهر,همدان,همدان,226036,1.76
مسجد جامع امام,اصفهان,اصفهان,321136,1.72
خانه بروجردی ها,اصفهان,اصفهان,201159,1.56
بیستون,کرمانشاه,بیستون,197541,1.53
بقعه شیخ صفی,اردبیل,اردبیل,190102,1.48
منارجنبان,اصفهان,اصفهان,174127,1.35
نقش رستم,فارس,مرودشت,167841,1.3
